lat,lon,date,temp_max,temp_min,precip
40.75,-74.01,2021-06-01,24.1,9.9,0.0
40.75,-74.01,2021-06-02,22.0,12.9,0.0
40.75,-74.01,2021-06-03,22.8,13.5,13.8
40.75,-74.01,2021-06-04,25.7,18.0,5.1
40.75,-74.01,2021-06-05,31.9,17.5,0.0
40.75,-74.01,2021-06-06,31.8,20.5,0.0
40.75,-74.01,2021-06-07,30.6,21.1,0.3
40.75,-74.01,2021-06-08,30.5,22.2,5.8
40.75,-74.01,2021-06-09,30.8,21.7,1.4
40.75,-74.01,2021-06-10,26.8,17.2,0.2
40.75,-74.01,2021-06-11,21.1,15.7,0.5
40.75,-74.01,2021-06-12,21.7,16.4,0.4
40.75,-74.01,2021-06-13,23.9,15.1,0.1
40.75,-74.01,2021-06-14,21.6,17.9,17.8
40.75,-74.01,2021-06-15,25.8,17.7,0.6
40.75,-74.01,2021-06-16,23.6,15.6,0.0
40.75,-74.01,2021-06-17,24.3,12.7,0.0
40.75,-74.01,2021-06-18,27.8,13.7,0.0
40.75,-74.01,2021-06-19,32.6,19.8,2.0
40.75,-74.01,2021-06-20,29.5,17.6,0.3
40.75,-74.01,2021-06-21,28.1,21.9,0.5
40.75,-74.01,2021-06-22,24.8,15.5,8.8
40.75,-74.01,2021-06-23,23.5,12.7,0.0
40.75,-74.01,2021-06-24,23.1,13.9,0.0
40.75,-74.01,2021-06-25,24.5,16.2,0.0
40.75,-74.01,2021-06-26,26.6,18.9,1.8
40.75,-74.01,2021-06-27,29.6,22.4,0.5
40.75,-74.01,2021-06-28,32.9,23.2,0.0
40.75,-74.01,2021-06-29,33.8,24.3,0.0
40.75,-74.01,2021-06-30,35.7,25.2,0.0
40.75,-74.01,2021-07-01,28.9,22.2,22.9
40.75,-74.01,2021-07-02,24.7,20.3,28.0
40.75,-74.01,2021-07-03,19.8,16.9,16.7
40.75,-74.01,2021-07-04,25.4,16.0,1.7
40.75,-74.01,2021-07-05,26.6,18.3,0.2
40.75,-74.01,2021-07-06,33.6,22.3,0.6
40.75,-74.01,2021-07-07,32.1,22.3,1.0
40.75,-74.01,2021-07-08,28.3,21.7,12.2
40.75,-74.01,2021-07-09,30.3,22.1,37.2
40.75,-74.01,2021-07-10,26.2,21.2,1.0
40.75,-74.01,2021-07-11,25.0,20.3,2.5
40.75,-74.01,2021-07-12,28.8,22.6,16.2
40.75,-74.01,2021-07-13,26.1,21.4,1.8
40.75,-74.01,2021-07-14,30.9,21.9,1.3
40.75,-74.01,2021-07-15,29.7,21.5,0.1
40.75,-74.01,2021-07-16,32.7,23.6,0.4
40.75,-74.01,2021-07-17,31.0,23.7,8.7
40.75,-74.01,2021-07-18,28.8,23.5,15.0
40.75,-74.01,2021-07-19,28.0,21.2,0.2
40.75,-74.01,2021-07-20,31.4,21.4,0.0
40.75,-74.01,2021-07-21,28.4,21.4,5.3
40.75,-74.01,2021-07-22,27.1,18.1,0.0
40.75,-74.01,2021-07-23,26.6,17.8,0.0
40.75,-74.01,2021-07-24,27.1,18.5,0.0
40.75,-74.01,2021-07-25,29.0,20.3,7.9
40.75,-74.01,2021-07-26,32.1,22.0,0.0
40.75,-74.01,2021-07-27,30.9,19.7,0.1
40.75,-74.01,2021-07-28,27.3,20.7,1.1
40.75,-74.01,2021-07-29,25.8,20.1,32.2
40.75,-74.01,2021-07-30,28.2,19.7,0.0
40.75,-74.01,2021-07-31,26.2,14.8,0.0
40.75,-74.01,2021-08-01,24.5,16.7,0.7
